experiment_id,timestamp,model_name,epochs,actual_epochs,batch_size,dropout_rate,learning_rate,optimizer,augmentation,total_seconds,best_train_accuracy,best_val_accuracy,best_train_loss,best_val_loss,history_csv_file,tensorboard_log_dir
0,20240822-105755,DNN1,350,39,64,0.0,0.0001,adam,False,44.792103,0.6197692155838013,0.2900640964508056,1.686802625656128,2.8226563930511475,results\training_history_0_20240822-105755.csv,results\tensorboard_logs_0_20240822-105755
1,20240822-105844,DNN2,350,11,64,0.0,0.0001,adam,False,19.526905,0.4986153841018677,0.1826923042535781,1.8109415769577024,3.017464399337769,results\training_history_1_20240822-105844.csv,results\tensorboard_logs_1_20240822-105844
2,20240822-105908,CNN1,350,14,64,0.0,0.0001,adam,False,74.465643,0.7662692070007324,0.3766025602817535,0.8611589670181274,2.3500587940216064,results\training_history_2_20240822-105908.csv,results\tensorboard_logs_2_20240822-105908
3,20240822-110027,CNN2,350,10,64,0.0,0.0001,adam,False,131.987165,0.8244615197181702,0.3910256326198578,0.6080014109611511,2.2729225158691406,results\training_history_3_20240822-110027.csv,results\tensorboard_logs_3_20240822-110027
4,20240822-110244,CNN3,350,11,64,0.0,0.0001,adam,False,124.962115,0.6321538686752319,0.3044871687889099,1.2366453409194946,2.537064790725708,results\training_history_4_20240822-110244.csv,results\tensorboard_logs_4_20240822-110244
0,20240822-135001,DNN1,350,38,64,0.0,0.0001,adam,False,47.673112,0.5964999794960022,0.2612179517745971,1.7883219718933103,2.8784220218658447,results\training_history_0_20240822-135001.csv,results\tensorboard_logs_0_20240822-135001
0,20240822-135350,DNN1,350,44,64,0.0,0.0001,adam,False,57.722818,0.6363077163696289,0.2836538553237915,1.586885929107666,2.8118488788604736,results\training_history_0_20240822-135350.csv,results\tensorboard_logs_0_20240822-135350
0,20240822-142155,DNN1,350,40,64,0.0,0.0001,adam,False,62.066458,0.6220769286155701,0.2820512950420379,1.659512639045715,2.770249843597412,results\training_history_0_20240822-142155.csv,results\tensorboard_logs_0_20240822-142155
1,20240822-142302,DNN2,350,12,64,0.0,0.0001,adam,False,25.827324,0.5005384683609009,0.2003205120563507,1.789221167564392,2.975552082061768,results\training_history_1_20240822-142302.csv,results\tensorboard_logs_1_20240822-142302
2,20240822-142333,CNN1,350,14,64,0.0,0.0001,adam,False,81.775991,0.7695000171661377,0.3942307829856872,0.8285839557647705,2.331789016723633,results\training_history_2_20240822-142333.csv,results\tensorboard_logs_2_20240822-142333
2,20240822-142754,CNN1,350,14,64,0.0,0.0001,adam,False,87.282251,0.7656922936439514,0.3717948794364929,0.8598079085350037,2.4337081909179688,results\training_history_2_20240822-142754.csv,results\tensorboard_logs_2_20240822-142754
3,20240822-142927,CNN2,350,10,64,0.0,0.0001,adam,False,172.206377,0.8243846297264099,0.4182692170143127,0.61536705493927,2.3422775268554688,results\training_history_3_20240822-142927.csv,results\tensorboard_logs_3_20240822-142927
4,20240822-143227,CNN3,350,10,64,0.0,0.0001,adam,False,145.257633,0.6050384640693665,0.2932692170143127,1.2959357500076294,2.680384635925293,results\training_history_4_20240822-143227.csv,results\tensorboard_logs_4_20240822-143227
2,20240822-144217,CNN1,350,14,64,0.0,0.0001,adam,False,81.434933,0.7754615545272827,0.3910256326198578,0.8140432238578796,2.3527657985687256,results\training_history_2_20240822-144217.csv,results\tensorboard_logs_2_20240822-144217
3,20240822-144344,CNN2,350,10,64,0.0,0.0001,adam,False,168.660864,0.8166922926902771,0.4519230723381042,0.636375904083252,2.1729516983032227,results\training_history_3_20240822-144344.csv,results\tensorboard_logs_3_20240822-144344
4,20240822-144638,CNN3,350,10,64,0.0,0.0001,adam,False,138.687223,0.6096923351287842,0.2964743673801422,1.3142755031585691,2.738105297088623,results\training_history_4_20240822-144638.csv,results\tensorboard_logs_4_20240822-144638
5,20240822-144904,CNN1,350,21,64,0.0,0.0001,adam,True,259.425249,0.25,0.1506410241127014,2.6976656913757324,2.92112135887146,results\training_history_5_20240822-144904.csv,results\tensorboard_logs_5_20240822-144904
6,20240822-145332,CNN1,350,14,64,0.1,0.0001,adam,False,108.671794,0.7466154098510742,0.3846153914928436,0.8833242058753967,2.39115309715271,results\training_history_6_20240822-145332.csv,results\tensorboard_logs_6_20240822-145332
7,20240822-145525,CNN1,350,16,64,0.2,0.0001,adam,False,117.143314,0.7257307767868042,0.3782051205635071,0.9438457489013672,2.3933780193328857,results\training_history_7_20240822-145525.csv,results\tensorboard_logs_7_20240822-145525
8,20240822-145732,CNN1,350,15,64,0.3,0.0001,adam,False,134.080286,0.6800384521484375,0.3733974397182464,1.1033746004104614,2.337573528289795,results\training_history_8_20240822-145732.csv,results\tensorboard_logs_8_20240822-145732
9,20240822-145951,CNN1,350,17,64,0.4,0.0001,adam,False,147.013976,0.6641538739204407,0.3958333432674408,1.1534719467163086,2.400696039199829,results\training_history_9_20240822-145951.csv,results\tensorboard_logs_9_20240822-145951
10,20240822-150224,CNN2,350,10,64,0.1,0.0001,adam,False,175.493007,0.8169615268707275,0.410256415605545,0.6237437129020691,2.2761473655700684,results\training_history_10_20240822-150224.csv,results\tensorboard_logs_10_20240822-150224
11,20240822-150525,CNN2,350,10,64,0.2,0.0001,adam,False,171.212898,0.8048461675643921,0.4599359035491943,0.6552866101264954,2.2948811054229736,results\training_history_11_20240822-150525.csv,results\tensorboard_logs_11_20240822-150525
12,20240822-150822,CNN2,350,10,64,0.3,0.0001,adam,False,173.450447,0.7686153650283813,0.4086538553237915,0.7749139666557312,2.3481650352478027,results\training_history_12_20240822-150822.csv,results\tensorboard_logs_12_20240822-150822
13,20240822-151123,CNN2,350,10,64,0.4,0.0001,adam,False,181.667396,0.7508077025413513,0.4631410241127014,0.8433936834335327,2.0803709030151367,results\training_history_13_20240822-151123.csv,results\tensorboard_logs_13_20240822-151123
14,20240822-151431,CNN3,350,11,64,0.1,0.0001,adam,False,160.808409,0.6463461518287659,0.3413461446762085,1.1386065483093262,2.6511693000793457,results\training_history_14_20240822-151431.csv,results\tensorboard_logs_14_20240822-151431
15,20240822-151717,CNN3,350,12,64,0.2,0.0001,adam,False,170.574729,0.5999230742454529,0.3269230723381042,1.2833467721939087,2.616122245788574,results\training_history_15_20240822-151717.csv,results\tensorboard_logs_15_20240822-151717
16,20240822-152013,CNN3,350,13,64,0.3,0.0001,adam,False,211.881261,0.6126154065132141,0.342948704957962,1.245388150215149,2.546243190765381,results\training_history_16_20240822-152013.csv,results\tensorboard_logs_16_20240822-152013
